hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,bookingID,date_str,arrival_date,total_stay,lead_time_bracket,adr_category,total_nights,estimated_revenue
"Heidelberg Marriott Hotel Heidelberg, Germany",0,18,2019,July,30,27,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,169.0,0,1,Check-Out,2019-07-30,11,2019-July-27,2019-07-27,3,0-30 Hari,Premium Price,3,507.0
"W New York – Times Square New York, NY",0,3,2019,February,8,24,0,1,1,0.0,0,SC,DEU,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,78.0,0,0,Check-Out,2019-02-25,12,2019-February-24,2019-02-24,1,0-30 Hari,Medium Price,1,78.0
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",1,101,2018,June,27,27,1,5,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0.0,0,Transient,140.0,0,0,Canceled,2018-05-06,13,2018-June-27,2018-06-27,6,91-180 Hari,Premium Price,6,840.0
"Renaissance Hamburg Hotel Hamburg, Germany",0,83,2018,April,17,20,2,5,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,0,Transient,80.75,0,0,Check-Out,2018-04-27,14,2018-April-20,2018-04-20,7,61-90 Hari,Medium Price,7,565.25
"The Ritz-Carlton, Berlin Berlin, Germany",0,63,2017,September,36,1,0,4,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,A,C,0,No Deposit,0.0,0,Transient,142.5,0,1,Check-Out,2017-09-05,15,2017-September-1,2017-09-01,4,61-90 Hari,Premium Price,4,570.0
"Sheraton Lima Hotel & Convention Center Lima, Peru",1,122,2019,August,33,14,1,2,3,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,195.0,0,0,Canceled,2019-04-18,16,2019-August-14,2019-08-14,3,91-180 Hari,Premium Price,3,585.0
"Courtyard Las Vegas Convention Center Las Vegas, NV ",0,142,2018,August,35,24,0,3,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,0,Transient,108.3,0,0,Check-Out,2018-08-27,17,2018-August-24,2018-08-24,3,91-180 Hari,High Price,3,324.9
"Newark Liberty International Airport Courtyard Newark, NJ",0,52,2018,September,38,13,0,2,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,152.1,0,1,Check-Out,2018-09-15,18,2018-September-13,2018-09-13,2,31-60 Hari,Premium Price,2,304.2
"Indianapolis Airport Courtyard Indianapolis, IN",1,112,2018,December,50,6,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,97.75,0,1,Canceled,2018-10-31,19,2018-December-6,2018-12-06,4,91-180 Hari,High Price,4,391.0
"Treasure Beach, Barbados Barbados",0,102,2019,April,17,24,1,3,2,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0.0,0,Transient-Party,100.0,0,0,Check-Out,2019-04-28,20,2019-April-24,2019-04-24,4,91-180 Hari,High Price,4,400.0
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",0,36,2017,August,32,7,0,2,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,0,Transient-Party,62.0,0,0,Check-Out,2017-08-09,21,2017-August-7,2017-08-07,2,31-60 Hari,Low Price,2,124.0
"The St. Regis Osaka Osaka, Japan",1,234,2019,June,23,9,2,5,3,0.0,0,HB,IRL,Direct,Direct,0,0,0,E,E,1,No Deposit,250.0,0,Transient,171.39,0,1,Canceled,2018-11-21,22,2019-June-9,2019-06-09,7,181-360 Hari,Premium Price,7,1199.73
"Chicago O'Hare Courtyard Des Plaines, IL",0,52,2019,March,11,12,2,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,100.3,0,1,Check-Out,2019-03-16,23,2019-March-12,2019-03-12,4,31-60 Hari,High Price,4,401.2
"Renaissance Hamburg Hotel Hamburg, Germany",1,247,2019,June,22,2,1,2,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,0,Transient,79.66,0,0,Canceled,2018-09-29,24,2019-June-2,2019-06-02,3,181-360 Hari,Medium Price,3,238.98
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",0,1,2018,November,46,8,0,4,2,0.0,0,SC,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,159.38,0,2,Check-Out,2018-11-12,25,2018-November-8,2018-11-08,4,0-30 Hari,Premium Price,4,637.52
"The St. Regis Osaka Osaka, Japan",1,124,2019,April,15,9,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,492.0,0,Transient,80.0,0,0,Canceled,2019-02-28,26,2019-April-9,2019-04-09,7,91-180 Hari,Medium Price,7,560.0
"Residence Inn Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,6,2018,January,3,13,0,1,1,0.0,0,BB,Unknown,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,184.0,0,Transient,37.0,0,0,Check-Out,2018-01-14,27,2018-January-13,2018-01-13,1,0-30 Hari,Low Price,1,37.0
"Berlin Marriott Hotel Berlin, Germany",0,165,2018,May,22,22,1,0,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,D,F,0,No Deposit,251.0,0,Transient,59.0,0,1,Check-Out,2018-05-23,28,2018-May-22,2018-05-22,1,91-180 Hari,Low Price,1,59.0
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",0,1,2018,July,30,19,0,3,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,249.0,0,0,Check-Out,2018-07-22,29,2018-July-19,2018-07-19,3,0-30 Hari,Premium Price,3,747.0
"Hotel Alfonso XIII, a Luxury Collection Hotel, Seville Seville, Spain",1,55,2018,July,28,7,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0.0,0,Transient-Party,79.0,0,0,Canceled,2018-07-06,30,2018-July-7,2018-07-07,1,31-60 Hari,Medium Price,1,79.0
"Treasure Beach, Barbados Barbados",0,0,2018,June,25,13,1,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,0,Transient,150.92,0,1,Check-Out,2018-06-17,31,2018-June-13,2018-06-13,4,,Premium Price,4,603.68
"Renaissance New York Times Square Hotel New York, NY",0,164,2018,November,45,4,2,3,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,0,Transient,43.8,1,0,Check-Out,2018-11-09,32,2018-November-4,2018-11-04,5,91-180 Hari,Low Price,5,219.0
"Courtyard Las Vegas Convention Center Las Vegas, NV ",1,117,2018,August,33,11,1,3,2,2.0,0,BB,NOR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9.0,0,Transient,186.3,0,0,Canceled,2018-04-17,33,2018-August-11,2018-08-11,4,91-180 Hari,Premium Price,4,745.2
"Frankfurt Marriott Hotel Frankfurt, Germany",0,39,2018,July,31,25,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0.0,0,Transient,67.0,1,0,Check-Out,2018-07-26,34,2018-July-25,2018-07-25,1,31-60 Hari,Low Price,1,67.0
"Las Vegas Marriott Las Vegas, NV ",0,8,2019,April,16,20,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0.0,0,Transient,45.0,0,0,Check-Out,2019-04-21,35,2019-April-20,2019-04-20,1,0-30 Hari,Low Price,1,45.0
"Baton Rouge Acadian Centre/LSU Area Courtyard Baton Rouge, LA",1,93,2019,April,14,6,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,170.0,0,Transient,95.0,0,0,Canceled,2019-01-03,36,2019-April-6,2019-04-06,3,91-180 Hari,Medium Price,3,285.0
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",0,39,2018,August,36,30,0,4,3,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,D,1,No Deposit,0.0,0,Transient,161.0,0,2,Check-Out,2018-09-03,37,2018-August-30,2018-08-30,4,31-60 Hari,Premium Price,4,644.0
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",1,283,2017,July,31,27,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Transient-Party,62.0,0,0,Canceled,2017-06-29,38,2017-July-27,2017-07-27,2,181-360 Hari,Low Price,2,124.0
"Albuquerque Airport Courtyard Albuquerque, NM",0,60,2017,September,37,12,2,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,11.0,0,Transient,71.4,0,0,Check-Out,2017-09-16,39,2017-September-12,2017-09-12,4,31-60 Hari,Medium Price,4,285.6
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",0,8,2018,April,17,20,0,1,1,0.0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,0,Transient,95.2,0,0,Check-Out,2018-04-21,40,2018-April-20,2018-04-20,1,0-30 Hari,High Price,1,95.2
"Tamarind, Barbados Barbados",1,360,2019,August,34,20,2,4,3,1.0,0,HB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,0,Transient,343.0,0,0,Canceled,2018-09-24,41,2019-August-20,2019-08-20,6,181-360 Hari,Premium Price,6,2058.0
"Las Vegas Marriott Las Vegas, NV ",1,161,2019,June,25,24,2,1,3,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,147.42,0,0,Canceled,2019-02-15,42,2019-June-24,2019-06-24,3,91-180 Hari,Premium Price,3,442.26
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,2,2017,December,51,17,0,3,2,0.0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,0,Transient,54.0,1,0,Check-Out,2017-12-20,43,2017-December-17,2017-12-17,3,0-30 Hari,Low Price,3,162.0
"W London – Leicester Square London, United Kingdom",0,1,2017,August,33,10,1,1,0,3.0,0,BB,PRT,Direct,Direct,0,0,0,B,B,1,No Deposit,0.0,0,Transient-Party,9.0,0,0,Check-Out,2017-08-12,44,2017-August-10,2017-08-10,2,0-30 Hari,Low Price,2,18.0
"Sheraton Diana Majestic, Milan Milan, Italy",1,181,2019,May,21,25,0,2,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,0.0,0,Transient,130.0,0,0,Canceled,2018-11-25,45,2019-May-25,2019-05-25,2,181-360 Hari,Premium Price,2,260.0
"Las Vegas Marriott Las Vegas, NV ",0,320,2019,August,32,12,1,1,2,1.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,123.3,0,3,Check-Out,2019-08-14,46,2019-August-12,2019-08-12,2,181-360 Hari,High Price,2,246.6
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,16,2018,December,53,29,0,2,2,0.0,0,BB,BRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,0,Transient,140.0,0,0,Check-Out,2018-12-31,47,2018-December-29,2018-12-29,2,0-30 Hari,Premium Price,2,280.0
"Greensboro Courtyard Greensboro, NC",1,13,2017,December,53,29,2,5,0,2.0,0,BB,BRA,Direct,Direct,0,1,0,B,B,1,No Deposit,0.0,0,Transient-Party,7.8,0,1,Canceled,2017-12-23,48,2017-December-29,2017-12-29,7,0-30 Hari,Low Price,7,54.6
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,2,2017,December,50,7,2,5,1,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,115.0,0,Transient,34.2,0,0,Check-Out,2017-12-14,49,2017-December-7,2017-12-07,7,0-30 Hari,Low Price,7,239.40000000000003
"Sheraton Diana Majestic, Milan Milan, Italy",0,115,2019,April,13,1,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,117.0,0,1,Check-Out,2019-04-04,50,2019-April-1,2019-04-01,3,91-180 Hari,High Price,3,351.0
"Fort Worth University Drive Courtyard Fort Worth, TX",0,93,2018,August,32,2,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient-Party,189.0,0,0,Check-Out,2018-08-06,51,2018-August-2,2018-08-02,4,91-180 Hari,Premium Price,4,756.0
"Protea Hotel by Marriott Midrand Midrand, South Africa",0,1,2019,January,2,10,0,3,2,0.0,0,BB,KOR,Direct,Direct,0,0,0,A,A,1,No Deposit,0.0,0,Transient,80.0,0,0,Check-Out,2019-01-13,52,2019-January-10,2019-01-10,3,0-30 Hari,Medium Price,3,240.0
"Sheraton Diana Majestic, Milan Milan, Italy",1,121,2019,July,29,22,3,6,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,394.0,0,Transient,80.1,0,2,Canceled,2019-07-07,53,2019-July-22,2019-07-22,9,91-180 Hari,Medium Price,9,720.9
"Protea Hotel Fire & Ice! by Marriott Johannesburg Melrose Arch Johannesburg, South Africa",0,23,2019,June,23,10,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,154.0,1,1,Check-Out,2019-06-11,54,2019-June-10,2019-06-10,1,0-30 Hari,Premium Price,1,154.0
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",1,278,2017,July,30,22,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,1,Non Refund,1.0,0,Transient-Party,60.0,0,0,Canceled,2017-07-02,55,2017-July-22,2017-07-22,2,181-360 Hari,Low Price,2,120.0
"Sacramento Airport Natomas Courtyard Sacramento, CA",0,162,2019,July,27,5,0,4,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,152.1,0,0,Check-Out,2019-07-09,56,2019-July-5,2019-07-05,4,91-180 Hari,Premium Price,4,608.4
"Tamarind, Barbados Barbados",0,0,2019,April,17,27,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,D,0,No Deposit,0.0,0,Transient-Party,45.0,0,0,Check-Out,2019-04-28,57,2019-April-27,2019-04-27,1,,Low Price,1,45.0
"Anaheim Marriott Anaheim, CA",0,176,2019,August,34,24,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,0,Contract,104.85,0,1,Check-Out,2019-08-31,58,2019-August-24,2019-08-24,7,91-180 Hari,High Price,7,733.9499999999999
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",1,300,2017,August,33,13,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Contract,62.0,0,0,Canceled,2017-01-01,59,2017-August-13,2017-08-13,2,181-360 Hari,Low Price,2,124.0
"Residence Inn Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",0,177,2018,June,26,23,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Contract,68.0,0,0,Check-Out,2018-07-07,60,2018-June-23,2018-06-23,14,91-180 Hari,Low Price,14,952.0
"Heidelberg Marriott Hotel Heidelberg, Germany",0,405,2019,July,27,4,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient-Party,114.4,0,0,Check-Out,2019-07-06,61,2019-July-4,2019-07-04,2,>360 Hari,High Price,2,228.8
"Sheraton Lima Hotel & Convention Center Lima, Peru",0,23,2017,September,37,7,3,7,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,95.98,0,0,Check-Out,2017-09-17,62,2017-September-7,2017-09-07,10,0-30 Hari,High Price,10,959.8000000000001
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",1,113,2018,February,9,25,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,44,Transient,75.0,0,0,Canceled,2017-12-18,63,2018-February-25,2018-02-25,3,91-180 Hari,Medium Price,3,225.0
"Orlando International Drive/Convention Center Courtyard Orlando, FL",1,170,2017,October,41,4,4,8,2,0.0,0,BB,CN,Groups,TA/TO,0,0,0,A,A,0,Non Refund,15.0,0,Transient,44.5,0,0,Canceled,2017-07-17,64,2017-October-4,2017-10-04,12,91-180 Hari,Low Price,12,534.0
"The St. Regis Osaka Osaka, Japan",1,124,2019,April,15,9,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,C,1,Non Refund,492.0,0,Transient,80.0,0,0,Canceled,2019-02-28,65,2019-April-9,2019-04-09,7,91-180 Hari,Medium Price,7,560.0
"Louisville East Courtyard Louisville, KY",0,6,2017,September,37,10,1,3,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Contract,116.25,0,2,Check-Out,2017-09-14,66,2017-September-10,2017-09-10,4,0-30 Hari,High Price,4,465.0
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",1,22,2018,April,18,30,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,100.0,0,0,Canceled,2018-04-09,67,2018-April-30,2018-04-30,4,0-30 Hari,High Price,4,400.0
"Newark Liberty International Airport Courtyard Newark, NJ",0,15,2018,July,28,5,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,151.0,0,1,Check-Out,2018-07-08,68,2018-July-5,2018-07-05,3,0-30 Hari,Premium Price,3,453.0
"Hotel Maria Cristina, San Sebastian San Sebastian, Spain",0,4,2018,January,4,20,0,2,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,314.0,0,Transient,35.0,1,1,Check-Out,2018-01-22,69,2018-January-20,2018-01-20,2,0-30 Hari,Low Price,2,70.0
"Sacramento Airport Natomas Courtyard Sacramento, CA",1,150,2018,January,1,2,2,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,91,Transient,101.0,0,0,Canceled,2017-11-04,70,2018-January-2,2018-01-02,3,91-180 Hari,High Price,3,303.0
"Baltimore BWI Airport Courtyard Linthicum, MD",0,42,2018,June,25,13,1,1,1,0.0,0,BB,NLD,Corporate,Corporate,0,0,0,A,A,1,No Deposit,0.0,0,Transient,89.0,0,0,Check-Out,2018-06-15,71,2018-June-13,2018-06-13,2,31-60 Hari,Medium Price,2,178.0
"The Ritz-Carlton, Berlin Berlin, Germany",0,2,2018,August,33,8,1,0,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,0,Transient,335.0,0,0,Check-Out,2018-08-09,73,2018-August-8,2018-08-08,1,0-30 Hari,Premium Price,1,335.0
"Greensboro Courtyard Greensboro, NC",1,148,2017,December,53,31,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,98,Transient,77.5,0,0,Canceled,2017-11-11,74,2017-December-31,2017-12-31,4,91-180 Hari,Medium Price,4,310.0
"Courtyard by Marriott Toulouse Airport Toulouse, France",0,0,2019,January,4,27,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,0.0,0,Transient,76.0,0,0,Check-Out,2019-01-28,75,2019-January-27,2019-01-27,1,,Medium Price,1,76.0
"Indianapolis Airport Courtyard Indianapolis, IN",0,59,2017,December,52,24,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,0.0,0,Transient-Party,51.0,1,0,Check-Out,2017-12-27,76,2017-December-24,2017-12-24,3,31-60 Hari,Low Price,3,153.0
"Louisville East Courtyard Louisville, KY",0,27,2019,April,16,20,3,8,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Contract,50.85,0,0,Check-Out,2019-05-01,77,2019-April-20,2019-04-20,11,0-30 Hari,Low Price,11,559.35
"W New York – Union Square New York, NY",1,112,2019,March,11,15,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0.0,0,Transient-Party,40.0,0,0,Canceled,2019-02-16,78,2019-March-15,2019-03-15,3,91-180 Hari,Low Price,3,120.0
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",0,396,2019,June,26,25,2,0,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient-Party,122.4,0,1,Check-Out,2019-06-27,79,2019-June-25,2019-06-25,2,>360 Hari,High Price,2,244.8
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",0,169,2018,July,30,21,2,5,2,0.0,0,BB,PLW,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,136.29,0,2,Check-Out,2018-07-28,80,2018-July-21,2018-07-21,7,91-180 Hari,Premium Price,7,954.03
"W London – Leicester Square London, United Kingdom",1,144,2018,September,38,12,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,126.9,0,3,Canceled,2018-08-24,81,2018-September-12,2018-09-12,4,91-180 Hari,Premium Price,4,507.6
"Chicago O'Hare Courtyard Des Plaines, IL",0,99,2018,June,27,29,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,114.3,0,1,Check-Out,2018-07-02,82,2018-June-29,2018-06-29,3,91-180 Hari,High Price,3,342.9
"Treasure Beach, Barbados Barbados",0,0,2019,April,17,26,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,2,A,B,0,No Deposit,0.0,0,Transient,45.0,0,0,Check-Out,2019-04-28,83,2019-April-26,2019-04-26,2,,Low Price,2,90.0
"St. Louis Downtown West Courtyard St. Louis, MO",1,108,2019,May,20,19,0,1,2,0.0,0,SC,ZAF,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,126.0,0,0,Canceled,2019-05-12,84,2019-May-19,2019-05-19,1,91-180 Hari,High Price,1,126.0
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",0,181,2019,March,9,1,6,19,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,440.0,0,Transient-Party,55.8,0,1,Check-Out,2019-03-26,85,2019-March-1,2019-03-01,25,181-360 Hari,Low Price,25,1395.0
"Des Moines West/Clive Courtyard Clive, IA",0,4,2018,January,3,15,0,2,2,1.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196.0,0,Transient,30.0,0,1,Check-Out,2018-01-17,86,2018-January-15,2018-01-15,2,0-30 Hari,Low Price,2,60.0
"Hotel Maria Cristina, San Sebastian San Sebastian, Spain",0,8,2019,June,26,28,0,1,1,0.0,0,SC,POL,Online TA,GDS,0,0,0,A,A,0,No Deposit,195.0,0,Transient,159.0,0,0,Check-Out,2019-06-29,87,2019-June-28,2019-06-28,1,0-30 Hari,Premium Price,1,159.0
